anime_id,Name,Score,Genres,Episodes_Count,Status,Licensors,Source,Duration,Rating,Rank,class,Episodes
34966,Jigoku Shoujo: Yoi no Togi,6.59,"Horror, Mystery, Supernatural",6,Finished Airing,Aniplex of America,Original,23 min per ep,R - 17+ (violence & profanity),5876,0,Short
34973,Love Live! Sunshine!! 2nd Season,7.58,Slice of Life,13,Finished Airing,Funimation,Other,23 min per ep,PG-13 - Teens 13 or older,1443,0,Short
34984,Koi wa Ameagari no You ni,7.49,"Drama, Romance",12,Finished Airing,Sentai Filmworks,Manga,22 min per ep,PG-13 - Teens 13 or older,1747,0,Short
35011,Yankee Hamster,6.09,Comedy,110,Finished Airing,Sentai Filmworks,Original,2 min per ep,PG-13 - Teens 13 or older,8444,0,Long
35044,Tu Bian Ying Xiong Leaf,7,Comedy,12,Finished Airing,Discotek Media,Original,21 min per ep,PG-13 - Teens 13 or older,3987,0,Short
35062,Mahoutsukai no Yome,8.06,"Drama, Fantasy, Romance",24,Finished Airing,Funimation,Manga,24 min per ep,PG-13 - Teens 13 or older,520,1,Short
35067,Osomatsu-san 2nd Season,7.6,Comedy,25,Finished Airing,VIZ Media,Manga,23 min per ep,R - 17+ (violence & profanity),1381,0,Short
35073,Overlord II,7.76,"Action, Adventure, Fantasy",13,Finished Airing,Funimation,Light novel,23 min per ep,R - 17+ (violence & profanity),1006,0,Short
35075,Hoozuki no Reitetsu 2nd Season,7.88,"Comedy, Fantasy",13,Finished Airing,Sentai Filmworks,Manga,23 min per ep,PG-13 - Teens 13 or older,766,0,Short
35076,Juuni Taisen,6.54,Action,12,Finished Airing,Funimation,Novel,24 min per ep,R - 17+ (violence & profanity),6130,0,Short
35078,Mitsuboshi Colors,7.41,Slice of Life,12,Finished Airing,Sentai Filmworks,Manga,23 min per ep,PG-13 - Teens 13 or older,2047,0,Short
35079,Kino no Tabi: The Beautiful World - The Animated Series,7.6,"Action, Adventure, Slice of Life",12,Finished Airing,Funimation,Light novel,23 min per ep,R - 17+ (violence & profanity),1377,0,Short
35082,Hibike! Euphonium Movie 2: Todoketai Melody,7.8,Drama,1,Finished Airing,Eleven Arts,Novel,1 hr 55 min,PG-13 - Teens 13 or older,915,0,Short
35086,"Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai",7.4,"Action, Supernatural",1,Finished Airing,Eleven Arts,Manga,50 min,PG-13 - Teens 13 or older,2082,0,Short
35134,Koukyoushihen Eureka Seven Hi-Evolution 1,6.19,"Adventure, Drama, Sci-Fi",1,Finished Airing,Funimation,Original,1 hr 32 min,PG-13 - Teens 13 or older,7910,0,Short
35135,Koukyoushihen Eureka Seven Hi-Evolution 2: Anemone,6.63,"Adventure, Drama, Sci-Fi",1,Finished Airing,Funimation,Original,1 hr 30 min,PG-13 - Teens 13 or older,5691,0,Short
35136,Koukyoushihen Eureka Seven Hi-Evolution 3: Eureka,6.47,"Adventure, Drama, Sci-Fi",1,Finished Airing,Funimation,Original,1 hr 56 min,PG-13 - Teens 13 or older,6532,0,Short
